 FirstName,LastName,University,Department,Education
 Garon,Smith,University of Montana,Chemistry & Biochemistry,Garon Smith came to UM in 1991 from State University of New York College at Fredonia. He received his Ph.D. degree in 1983 from the Colorado School of Mines and taught at Colorado College before moving to Fredonia. Garon Smith is an analytical/environmental chemist with broad interests in air and water characterization. He teaches freshman chemistry and undergraduate and graduate courses in analytical and environmental chemistry.
 Mickey,Smith,University of Montana,Mathematical Sciences,N/A
 Rob,Smith,University of Montana,Computer Science,N/A
 Meradeth,Snow,University of Montana,Anthropology,N/A
 Teresa,Sobieszczyk,University of Montana,Global Public HealthInternational Development StudiesSociologyWomen's and Gender Studies,"Ph.D., Development Sociology, Cornell University"
 Regina,Souza,University of Montana,Mathematical Sciences,"Ph.D., MIT"
 Dan,Spencer,University of Montana,Environmental StudiesInternational Development StudiesLatin American Studies,"Ph.D. Environmental Ethics, Union Theological Seminary, New York"
 Stephen,Sprang,University of Montana,BiochemistryCenter for Biomolecular Structure and DynamicsDivision of Biological Sciences,"Ph.D. in Biochemistry from the University of Wisconsin, Madison in 1977"
 Bharath,Sriraman,University of Montana,Mathematical Sciences,"Ph.D in Mathematical Sciences, Northern Illinois University, May 2002."
 Gregory,St. George,University of Montana,Mathematical Sciences,"Ph.D., University of Montana"
 Jack,Stanford,University of Montana,Division of Biological SciencesSystems Ecology,"Ph.D. (Limnology): University of Utah -1975
M.S. (Limnology): Colorado State University  1971
B.S. (Fisheries Science): Colorado State University - 1969"
 Cameo,Stanick,University of Montana,Psychology,N/A
 George,Stanley,University of Montana,Geosciences,"PhD The University of Kansas,"
 James R.,Staub,University of Montana,Geosciences,N/A
 Brian,Steele,University of Montana,Mathematical Sciences,"Ph.D, Mathematics , University of Montana , 1995. M.S., Statistics , Oregon State University , 1987, B.S. Natural Resources, Cornell University, 1978."
 Emily,Stone,University of Montana,Mathematical Sciences,"Ph.D., Cornell University"
 David,Strobel,University of Montana,Psychology,N/A
 Karel,Stroethoff,University of Montana,Mathematical Sciences,"Ph.D., Michigan State University"
 Matthew,Strohl,University of Montana,Philosophy,"Ph.D., Princeton University"
 Robert,Stubblefield,University of Montana,English,N/A
 Kent,Sugden,University of Montana,BiochemistryChemistry & Biochemistry,"
	Kent received his Ph.D. in chemistry from Montana State University in 1992. He was an NIH postdoctoral research fellow at Dartmouth College from 1993-95, a research associate at Dartmouth College from 1995-97 and a research assistant professor at Dartmouth from 1997-99. Kent joined the University of Montana chemistry department in June of 1999 where he conducts research in bioinorganic chemistry."
 Gyda,Swaney,University of Montana,Psychology,"PhD, The University of Montana, 1997"
 Allen,Szalda-Petree,University of Montana,Psychology,"Ph.D., The University of Montana-Missoula, 1990
M.S., Central Washington University, 1987
B.S., Central Washington University, 1984"
 Matthew,Taylor,University of Montana,Economics,"Matt joined the Economics Department at the University of Montana in 2012. He earned his PhD in Economics from the University of Oregon. Prior to entering the UO's PhD program, he served as an intelligence officer in the United States Air Force for eight and a half years. While serving in the USAF, Matt was stationed at Travis AFB in Northern California, the Naval Postgraduate School in Monterey, CA (where he earned a MA in National Security Affairs), and Hickam AFB in Hawaii. A few of the garden spots to which he had the opportunity to deploy include Uzbekistan, Qatar, U.A.E., and Diego Garcia. He grew up in Southern California and earned a BA in Political Science from the University of California, Santa Barbara (UCSB). Matt's wife is also a recovering political science major and they have two daughters, ages five and two, that keep them very busy."
 Tully,Thibeau,University of Montana,AnthropologyLinguistics Program,N/A
 Aaron,Thomas,University of Montana,Chemistry & Biochemistry,"Ph.D., Chemical Engineering, 2001, University of Florida."
 Graham R.,Thompson,University of Montana,Geosciences,"B.S., Bates College, l962, Geology
M.A., Dartmouth College, l965, Geology-Geochemistry/Petrology
Ph.D., Case Western Reserve University, l97l, Geochemistry/Clay Mineralogy/Petrology"
 Holly,Thompson,University of Montana,Chemistry & Biochemistry,"Holly Thompson earned her Ph.D. in the laboratory of Brian S. Spooner at Kansas State University in 1982. She was an NIH Postdoctoral Fellow with Vincent Hascall in the Laboratory of Biochemistry, Mineralized Tissue Research Branch, National Institute for Dental Research, National Institutes of Health, Bethesda, Maryland from 1982 to 1984. Following two years of teaching biochemistry at the University of Montana, Dr. Thompson entered the exciting world of a start-up biotechnology company, ChromatoChem Inc. She survived that experience, returning to the relative tranquility of university life in 1994. Dr. Thompson has taught courses ranging from freshman chemistry for nonmajors through upper division undergraduate and graduate level biochemistry."
 Bret,Tobalske,University of Montana,Division of Biological Sciences,"Ph.D. (1994) University of Montana, Organismal Biology and Ecology"
 Jon,Tompkins,University of Montana,Political Science,"Ph.D., University of Washington, 1981"
 Thomas,Tonev,University of Montana,Mathematical Sciences,"Ph.D., Moscow State University - Lomonosov, Russia"
 Robert,Tuck,University of Montana,Modern and Classical Languages and Literatures,"Ph.D., Modern Japanese Literature, Columbia University (2012)"
 Eijiro,Uchimoto,University of Montana,Physics and Astronomy,"Ph.D. Physics, University of Wisconsin-Madison, 1988"
 Kay,Unger,University of Montana,Economics,"Ph.D., Economics, Johns Hopkins University, 1974"
 Michel,Valentin,University of Montana,Modern and Classical Languages and Literatures,N/A
 H. Maurice,Valett,University of Montana,Division of Biological SciencesSystems Ecology,N/A
 Theodore,Van Alst,University of Montana,Native American Studies,N/A
 Ruth,Vanita,University of Montana,Liberal Studies,"Ph.D. Delhi University, India"
 Kyle G.,Volk,University of Montana,History,"Professor Volk advises graduate students studying aspects of nineteenth- and twentieth-century U.S. History that dovetail with his own broad historical interests. His current and former graduate students work on issues ranging from patriotism, public education, racial prejudice, and disability to environmental politics, public health and urban space, and governance in the American West. Professor Volk is accepting both MA and PhD students in the 2015-16 admissions cycle. Please contact him by email if you are interested in working with him as a graduate student."
 Karen,Volkman,University of Montana,English,N/A
 Nikolaus,Vonessen,University of Montana,Mathematical Sciences,"Ph.D. in Mathematics, Massachusetts Institute of Technology, 1988
""Vordiplom in Mathematik"", University of Karlsruhe (Germany), 1983"
 Ekaterina,Voronina,University of Montana,BiochemistryDivision of Biological SciencesDivision of Biological Sciences,"Brown University, Providence, RI; Ph.D."
 Edward,Waali,University of Montana,Chemistry & Biochemistry,"Ph.D. in Organic Chemistry, University of Wyoming, 1970 (with Professor Sara Jane Rhoads)."
 Clint,Walker,University of Montana,Modern and Classical Languages and Literatures,N/A
 Arlene,Walker-Andrews,University of Montana,Psychology,"Ph.D., Cornell University, 1980
B.A., University of Texas (Austin), 1975"
 James,Walsh,University of Montana,Psychology,N/A
 Herman,Walters,University of Montana,Psychology,N/A
 Jennifer,Waltz,University of Montana,Psychology,"Ph.D., University of Washington (1993)
B.A., University of Wisconsin - Madison (1985)"
 Andrew,Ware,University of Montana,Physics and Astronomy,"University of California at San Diego, PhD in Physics, 1992"
 Vicki,Watson,University of Montana,Environmental StudiesSystems Ecology,"Born on a small family farm in the vanishing Texas blackland prairie, I grew up watching my parents struggle to protect the small creek that ran through the back of our farm from the growing town & industry upstream. That's a battle we still fight to this day, 50 years later. I completed a BS in biology (U. Houston) and a PhD in aquatic ecology (U. Wisconsin). After a brief time as the staff scientist for Citizens for a Better Environment, I was hired as an environmental scientist by the University of Montana in 1983 and have served on that faculty ever since. My research, teaching and service focus on the conservation, preservation and restoration of watersheds.  My grants have included studies of cyanide and heavy metals leaching from abandoned cyanide leach mines and the fate and effects of herbicides applied for roadside weed control. I worked with the Montana Department of Environmental Quality to develop a statewide water quality monitoring system and have collaborated with DEQ in characterizing Montanas streams & lakes for the past 12 years. I was also part of a team that helped EPA develop nutrient criteria guidance documents for the US.  "
 Terry,Weidner,University of Montana,Political Science,"Ph.D. in Chinese History from the University of California, Davis
M.A. from the University of Michigan, Ann Arbor
B.A. from St. Lawrence University"
 G.G.,Weix,University of Montana,Anthropology,"1990 Ph.D. Anthropology, Cornell University"
 Scott,Wetzel,University of Montana,Division of Biological Sciences,"
Ph.D. Oregon Health & Science University, Portland, OR, 2001"
 Travis,Wheeler,University of Montana,Computer Science,"The lab has open positions for motivated postdocs and students at all levels (PhD, Masters, Undergrad). Please drop me a line if you'd like to discuss possibilities."
 Kenneth,White,University of Montana,English,N/A
 Andrew C.,Wilcox,University of Montana,Geosciences,"Ph.D., Geosciences, Colorado State University, 2005"
 Patrick,Williams,University of Montana,Irish Studies,N/A
 Paul,Wilson,University of Montana,Geography,N/A
 Jeff,Wiltse,University of Montana,History,"Ph.D., Brandeis University, 2002
M.A., Brandeis University, 1998
B.A., University of Puget Sound, 1993"
 Celia,Winkler,University of Montana,SociologyWomen's and Gender Studies,"Ph.D. Sociology, University of Oregon, 1996"
 Donald,Winston,University of Montana,Geosciences,"Ph.D., University of Texas, 1963"
 William W.,Woessner,University of Montana,Geosciences,N/A
 Reinhard,Wogg,University of Montana,Modern and Classical Languages and Literatures,N/A
 Janet,Wollersheim,University of Montana,Psychology,N/A
 Art,Woods,University of Montana,Division of Biological Sciences,"PhD, Zoology, University of Washington (1998)
BS, Biology, Stanford University (1991)"
 Alden,Wright,University of Montana,Computer Science,N/A
 Barbara,Wright,University of Montana,Division of Biological Sciences,N/A
 Ke,Wu,University of Montana,Mathematical Sciences,"Ph.D.University of Minnesota
Mathematics Education"
 Christina,Yoshimura,University of Montana,Communication Studies,N/A
 Stephen,Yoshimura,University of Montana,Communication Studies,"Arizona State University (Ph.D., 2002)"
